B16009,bus,KENT RIDGE TER,CLEMENTI RD,1.29434,103.769897
B16199,bus,NUS Fac Of Design & Env,KENT RIDGE CRES,1.296464,103.770707
B16189,bus,Computer Ctr,KENT RIDGE CRES,1.297397,103.772853
B16179,bus,Opp Yusof Ishak Hse,KENT RIDGE CRES,1.298958,103.774178
B18329,bus,University Health Ctr,LOWER KENT RIDGE RD,1.298942,103.776114
B18319,bus,Opp University Hall,LOWER KENT RIDGE RD,1.297553,103.778115
B18309,bus,Blk S17,LOWER KENT RIDGE RD,1.297499,103.781339
B18239,bus,Opp NUH,LOWER KENT RIDGE RD,1.29685,103.783276
B18339,bus,Opp Kent Ridge Stn,LOWER KENT RIDGE RD,1.29382,103.785068
B18121,bus,Opp Ayer Rajah Ind Est,BUONA VISTA FLYOVER,1.297547,103.785438
B18141,bus,Aft Anglo-Chinese JC,NORTH BUONA VISTA RD,1.304197,103.787852
B11361,bus,Buona Vista Stn,NORTH BUONA VISTA RD,1.306525,103.790588
B11189,bus,Blk 43,COMMONWEALTH AVE,1.307474,103.792562
B11401,bus,Blk 12,HOLLAND AVE,1.309088,103.795056
B11261,bus,Holland Village,HOLLAND RD,1.312242,103.794407
B11259,bus,Blk 17,HOLLAND DR,1.312569,103.79254
B11381,bus,Blk 10A,HOLLAND DR,1.308418,103.793302
B11181,bus,Opp Blk 43,COMMONWEALTH AVE,1.307233,103.792277
B11369,bus,Opp Buona Vista Stn,NORTH BUONA VISTA RD,1.306326,103.790818
B18149,bus,Opp Anglo-Chinese JC,NORTH BUONA VISTA RD,1.302524,103.78724
B18129,bus,Ayer Rajah Ind Est,BUONA VISTA FLYOVER,1.29773,103.785711
B18331,bus,Kent Ridge Stn,LOWER KENT RIDGE RD,1.293718,103.784874
B18221,bus,NUH,LOWER KENT RIDGE RD,1.296303,103.783394
B18301,bus,Lim Seng Tjoe Bldg (LT 27),LOWER KENT RIDGE RD,1.297429,103.781125
B18311,bus,Blk S12,LOWER KENT RIDGE RD,1.297429,103.777928
B18321,bus,Opp University Health Ctr,LOWER KENT RIDGE RD,1.297435,103.777901
B16171,bus,Yusof Ishak Hse,KENT RIDGE CRES,1.298883,103.774387
B16181,bus,Ctrl Lib,KENT RIDGE CRES,1.296571,103.772547
B16191,bus,Opp NUS Fac Of Architect,KENT RIDGE CRES,1.296153,103.77038
B16009,bus,Kent Ridge Ter,KENT RIDGE CRES,1.29434,103.769897
